Index,Raw path,Volume,Part,Section,Compile order
54,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0054.tif,Atlas Antarktiki I,,,50
55,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0055.tif,Atlas Antarktiki I,,,51
56,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0056.tif,Atlas Antarktiki I,,,52
57,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0057.tif,Atlas Antarktiki I,,,53
58,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0058.tif,Atlas Antarktiki I,,,54
59,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0059.tif,Atlas Antarktiki I,,,55
60,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0060.tif,Atlas Antarktiki I,,,56
61,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0061.tif,Atlas Antarktiki I,,,57
62,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0062.tif,Atlas Antarktiki I,,,58
63,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0063.tif,Atlas Antarktiki I,,,59
64,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0064.tif,Atlas Antarktiki I,,,60
65,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0065.tif,Atlas Antarktiki I,,,61
66,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0066.tif,Atlas Antarktiki I,,,62
67,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0067.tif,Atlas Antarktiki I,,,63
68,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0068.tif,Atlas Antarktiki I,,,64
69,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0069.tif,Atlas Antarktiki I,,,65
70,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0070.tif,Atlas Antarktiki I,,,66
71,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0071.tif,Atlas Antarktiki I,,,67
72,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0072.tif,Atlas Antarktiki I,,,68
73,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0073.tif,Atlas Antarktiki I,,,69
74,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0074.tif,Atlas Antarktiki I,,,70
75,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0075.tif,Atlas Antarktiki I,,,71
76,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0076.tif,Atlas Antarktiki I,,,72
77,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0077.tif,Atlas Antarktiki I,,,73
78,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0078.tif,Atlas Antarktiki I,,,74
79,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0079.tif,Atlas Antarktiki I,,,75
80,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0080.tif,Atlas Antarktiki I,,,76
81,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0081.tif,Atlas Antarktiki I,,,77
82,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0082.tif,Atlas Antarktiki I,,,78
83,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0083.tif,Atlas Antarktiki I,,,79
84,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0084.tif,Atlas Antarktiki I,,,80
85,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0085.tif,Atlas Antarktiki I,,,81
86,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0086.tif,Atlas Antarktiki I,,,82
87,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0087.tif,Atlas Antarktiki I,,,83
88,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0088.tif,Atlas Antarktiki I,,,84
89,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0089.tif,Atlas Antarktiki I,,,85
90,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0090.tif,Atlas Antarktiki I,,,86
91,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0091.tif,Atlas Antarktiki I,,,87
92,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0092.tif,Atlas Antarktiki I,,,88
93,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0093.tif,Atlas Antarktiki I,,,89
94,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0094.tif,Atlas Antarktiki I,,,90
95,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0095.tif,Atlas Antarktiki I,,,91
96,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0096.tif,Atlas Antarktiki I,,,92
97,LZW compression TIFF/Atlas Antarktiki I/Atlas_Antarktiki_I_0097.tif,Atlas Antarktiki I,,,93
