Index,Raw path,Volume,Part,Section,Compile order
54,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0054.tif,Atlas Antarktiki II,,,49
55,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0055.tif,Atlas Antarktiki II,,,50
56,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0056.tif,Atlas Antarktiki II,,,51
57,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0057.tif,Atlas Antarktiki II,,,52
58,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0058.tif,Atlas Antarktiki II,,,53
59,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0059.tif,Atlas Antarktiki II,,,54
60,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0060.tif,Atlas Antarktiki II,,,55
61,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0061.tif,Atlas Antarktiki II,,,56
62,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0062.tif,Atlas Antarktiki II,,,57
63,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0063.tif,Atlas Antarktiki II,,,58
64,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0064.tif,Atlas Antarktiki II,,,59
65,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0065.tif,Atlas Antarktiki II,,,60
66,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0066.tif,Atlas Antarktiki II,,,61
67,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0067.tif,Atlas Antarktiki II,,,62
68,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0068.tif,Atlas Antarktiki II,,,63
69,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0069.tif,Atlas Antarktiki II,,,64
70,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0070.tif,Atlas Antarktiki II,,,65
71,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0071.tif,Atlas Antarktiki II,,,66
72,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0072.tif,Atlas Antarktiki II,,,67
73,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0073.tif,Atlas Antarktiki II,,,68
74,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0074.tif,Atlas Antarktiki II,,,69
75,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0075.tif,Atlas Antarktiki II,,,70
76,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0076.tif,Atlas Antarktiki II,,,71
77,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0077.tif,Atlas Antarktiki II,,,72
78,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0078.tif,Atlas Antarktiki II,,,73
79,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0079.tif,Atlas Antarktiki II,,,74
